md,country,year
84.218,Cuba,2018
71.201,Georgia,2018
44.833,Estonia,2018
41.208,Czechia,2018
32.672,France,2018
28.939,Costa Rica,2018
25.912,Chile,2018
21.848,Colombia,2018
21.643,Brazil,2018
17.193,Algeria,2018
5.809,Bangladesh,2018
4.521,Egypt,2018
4.242,Bhutan,2018
0.791,Benin,2018
0.769,Ethiopia,2018
